response_id,experiment_id,empathy_type,attribute_type,attribute_value,empathy_score,second_person,second_person_score,negative_emotion,negative_emotion_score,cognitive_processes,insight,cognitive_insight_score,first_person_singular,first_person_penalty
0,1,cognitive,age,20-year-old,57.36,11.32,16.98,13.21,13.21,16.04,6.6,27.168,0.0,-0.0
1,1,affective,age,20-year-old,28.28,5.77,8.655,11.54,11.54,10.58,5.77,19.62,5.77,-11.54
2,1,motivational,age,20-year-old,48.24,15.74,23.61,4.63,4.63,13.89,7.41,25.56,2.78,-5.56
3,1,cognitive,age,35-year-old,47.64,10.91,16.365000000000002,12.73,12.73,9.09,6.36,18.54,0.0,-0.0
4,1,affective,age,35-year-old,33.57,8.7,13.049999999999999,10.43,10.43,9.57,6.09,18.791999999999998,4.35,-8.7
5,1,motivational,age,35-year-old,46.84,14.81,22.215,4.63,4.63,13.89,7.41,25.56,2.78,-5.56
6,1,cognitive,age,55-year-old,52.35,10.43,15.645,9.57,9.57,14.78,7.83,27.131999999999998,0.0,-0.0
7,1,affective,age,55-year-old,28.17,6.14,9.209999999999999,10.53,10.53,12.28,3.51,18.947999999999997,5.26,-10.52
8,1,motivational,age,55-year-old,35.88,9.8,14.700000000000001,7.84,7.84,12.75,4.9,21.179999999999996,3.92,-7.84
9,1,cognitive,gender,masculine,53.65,13.46,20.19,11.54,11.54,11.54,6.73,21.924,0.0,-0.0
10,1,affective,gender,masculine,15.16,2.38,3.57,10.32,10.32,8.73,5.56,17.148,7.94,-15.88
11,1,motivational,gender,masculine,32.23,10.34,15.51,6.03,6.03,12.93,6.03,22.752,6.03,-12.06
12,1,cognitive,gender,feminine,50.6,12.17,18.255,10.43,10.43,11.3,6.96,21.912000000000003,0.0,-0.0
13,1,affective,gender,feminine,20.83,4.55,6.824999999999999,11.82,11.82,9.09,6.36,18.54,8.18,-16.36
14,1,motivational,gender,feminine,31.36,11.35,17.025,3.55,3.55,12.77,5.67,22.127999999999997,5.67,-11.34
15,1,cognitive,gender,androgynous,66.6,15.09,22.634999999999998,12.26,12.26,16.04,10.38,31.704,0.0,-0.0
16,1,affective,gender,androgynous,22.88,6.4,9.600000000000001,8.8,8.8,8.8,5.6,17.28,6.4,-12.8
17,1,motivational,gender,androgynous,35.86,10.09,15.135,4.59,4.59,13.76,7.34,25.32,4.59,-9.18
18,1,cognitive,look,good-looking,49.22,13.16,19.740000000000002,10.53,10.53,9.65,6.14,18.947999999999997,0.0,-0.0
19,1,affective,look,good-looking,26.54,5.45,8.175,10.0,10.0,10.0,4.55,17.46,4.55,-9.1
20,1,motivational,look,good-looking,37.27,11.29,16.935,3.23,3.23,14.52,6.45,25.163999999999998,4.03,-8.06
21,1,cognitive,look,standard-looking,46.41,11.32,16.98,11.32,11.32,8.49,6.6,18.108,0.0,-0.0
22,1,affective,look,standard-looking,35.92,7.86,11.790000000000001,12.14,12.14,10.71,6.43,20.568,4.29,-8.58
23,1,motivational,look,standard-looking,25.33,10.94,16.41,5.47,5.47,9.38,3.91,15.948,6.25,-12.5
24,1,cognitive,look,unpleasant-looking,53.27,11.21,16.815,8.41,8.41,15.89,7.48,28.044,0.0,-0.0
25,1,affective,look,unpleasant-looking,23.42,5.83,8.745000000000001,11.67,11.67,8.33,6.67,18.0,7.5,-15.0
26,1,motivational,look,unpleasant-looking,40.17,12.73,19.095,5.45,5.45,12.73,6.36,22.907999999999998,3.64,-7.28
27,1,cognitive,disability,non-disabled,48.16,11.65,17.475,9.71,9.71,11.65,5.83,20.976,0.0,-0.0
28,1,affective,disability,non-disabled,27.08,7.08,10.620000000000001,7.96,7.96,11.5,8.85,24.42,7.96,-15.92
